Geneid	SRR17869115	SRR17869118	SRR17869121	SRR17869116	SRR17869119	SRR17869122
14790	1687	1298	1742	1523	1336	2019
14791	777	539	832	769	603	989
14792	2392	1544	1696	2631	1699	1857
14793	16	17	72	22	19	72
14794	575	497	456	655	450	561
14797	5981	5045	7372	6449	5457	8728
14799	0	0	0	0	0	0
14800	1	0	0	0	4	0
14802	0	0	0	0	0	0
14803	1	2	4	4	4	3
14804	0	0	0	0	0	0
14805	0	0	0	0	0	0
14806	0	0	1	0	0	0
14807	0	0	0	0	0	1
14809	14	22	27	17	21	29
14810	0	0	0	0	1	0
14811	0	0	0	0	0	0
14812	0	0	0	0	0	0
14813	1	0	1	1	0	8
14814	21	22	12	15	22	9
14815	2627	2277	1420	2729	2262	1727
14816	2	0	0	1	2	1
14823	0	2	0	0	0	0
14824	38995	34341	33244	40445	30976	37629
14825	98	45	23	23	73	21
14827	15523	14766	13139	14340	12723	14936
14828	17716	14752	18041	15569	13426	20381
14829	4	1	2	7	1	2
14836	0	0	0	0	0	0
14840	0	0	1	0	0	4
14841	119	166	135	142	126	148
14842	0	0	0	0	0	0
14843	0	0	0	0	0	0
14852	2485	1777	2244	2421	1862	2512
14853	39	21	216	30	25	249
14854	451	322	267	391	248	293
14857	0	1	0	0	0	0
14858	0	0	0	0	0	0
14859	509	245	2957	631	257	3351
14860	6	3	5	5	5	4
14862	2895	2152	3171	2951	2111	3660
14863	45	47	48	39	43	52
14864	0	0	0	0	1	0
14865	88	81	101	160	87	112
14866	34	18	85	31	33	99
14867	0	0	0	0	0	0
14869	1	2	1	4	2	1
14870	1084	1005	660	1190	927	573
14871	53	27	9	57	25	7
14872	141	102	95	118	96	117
14873	2303	1460	2680	2174	1524	3124
14874	170	190	207	214	176	207
14884	1251	1071	1130	1176	999	1216
14885	153	161	184	170	101	195
14886	1515	1114	3087	2008	1258	3294
14894	438	456	376	414	402	435
14897	6177	6130	5158	6278	5722	5669
14904	1576	1200	912	1416	1196	961
14910	235	238	262	209	198	291
14911	410	337	491	457	301	578
14912	0	0	1	2	0	0
14913	465	336	222	482	374	270
14915	0	0	0	0	0	0
14916	1	0	0	0	0	0
14917	0	4	0	0	5	0
14918	0	0	0	0	0	0
14919	0	0	0	0	0	1
14923	635	490	572	577	624	729
14924	3	4	5	0	0	18
14933	1563	1462	859	1437	1442	1109
14934	0	0	0	0	0	0
14936	1135	1977	1152	746	1893	1289
14938	0	0	0	0	0	0
14939	0	0	0	0	0	0
14940	0	0	0	0	0	0
14941	0	0	0	0	0	0
14942	0	0	1	0	0	1
14943	0	0	0	0	0	0
14944	0	0	0	0	0	0
14945	0	0	0	0	0	0
14950	3317	2943	2672	3236	2992	3024
14955	1	0	1	0	0	1
14957	0	9	3	2	0	1
14958	580	412	767	566	396	890
14960	7552	14444	598	4620	12513	711
14961	10792	21330	1072	6658	20129	1245
14962	85981	94609	2606	80842	103511	2886
14963	1	0	0	1	2	1
14964	120488	103324	31497	115026	95959	35229
14969	4982	10478	608	2692	9305	694
14972	132559	112252	24395	125492	109662	28924
14976	566	438	447	538	423	476
14977	4253	3137	3695	4214	3421	4135
14979	298	207	450	293	197	498
14985	0	0	0	0	0	0
14990	226	249	40	250	273	54
14991	1807	1639	377	1786	1640	416
14997	0	0	0	0	0	0
14998	2714	3442	650	2436	3652	677
14999	1754	2399	594	1546	2777	641
15000	47	76	23	50	74	31
15001	296	457	28	286	510	45
15002	5	19	7	3	22	3
15004	0	0	0	0	1	0
15006	159	113	0	222	58	2
15007	1	1	12	1	2	8
15013	0	1	0	1	0	1
15015	18682	18367	668	20486	16607	730
15018	9262	7413	32	8929	7707	39
15024	634	655	86	752	599	81
15039	10935	11800	758	12406	10340	910
15040	22644	19149	1972	22309	17656	2200
15042	4109	3676	139	5530	3830	159
15043	0	0	0	0	0	0
15051	81	110	22	96	103	28
15061	0	0	0	0	0	0
15064	389	344	478	459	311	566
15077	26	34	12	25	21	29
15078	4051	3608	3336	3917	3360	3755
15081	32	31	6	47	27	9
15107	553	484	759	714	541	865
15108	724	566	783	661	615	926
15109	2	4	32	2	3	26
15110	0	0	0	0	0	0
15111	0	0	0	0	0	0
15112	1	3	4	2	5	0
15114	99	133	27	107	93	16
15115	1000	772	867	1061	743	960
15116	39	37	22	51	47	22
15117	0	1	0	0	0	0
15118	9	6	7	6	7	13
15122	0	0	0	0	0	0
15126	0	0	0	0	0	0
15129	1	0	0	0	0	0
15132	0	0	0	0	0	0
15135	0	0	0	0	0	0
15139	0	0	3	0	0	0
15159	681	485	549	544	438	644
15160	2	1	2	0	0	0
15161	3929	3421	2820	4409	3590	3141
15162	7835	5524	5089	10014	6667	5435
15163	30561	23987	17344	30494	25467	19529
15165	0	0	0	0	0	0
15166	46	52	40	47	46	68
15168	2	4	0	0	1	4
15170	15721	11029	10498	17815	13322	11526
15171	3	2	0	2	1	0
15182	584	511	803	598	488	847
15183	708	694	689	705	587	798
15184	1681	2520	1870	1584	1594	2117
15185	327	358	276	265	232	306
15186	60	189	9	16	25	4
15191	4962	3902	3358	4911	4010	3773
15192	0	0	0	0	0	0
15193	620	602	755	658	621	790
15194	2370	2826	1543	2003	2328	1689
15199	130	89	347	156	99	370
15200	56	10	6	4	26	3
15201	73	67	86	70	64	81
15202	0	0	0	0	0	0
15203	1	0	0	0	0	3
15204	3106	2848	3168	3366	3188	3403
15205	8	14	0	1	2	1
15206	5	0	0	0	0	0
15207	0	0	0	0	1	0
15208	0	0	0	0	0	4
15209	1	2	0	3	0	2
15211	8208	7037	11063	7708	6925	12308
15212	2816	2856	4090	2820	2856	4733
15213	2	3	12	0	5	9
15214	0	0	0	0	0	0
15216	382	291	1088	498	331	1267
15218	0	0	0	0	0	0
15220	4	5	1	0	0	1
15221	0	1	0	0	0	0
15223	0	3	1	1	4	3
15227	0	0	0	1	2	0
15228	0	1	0	0	0	0
15229	0	0	0	0	0	0
15233	1	0	0	0	1	1
15234	368	392	124	526	429	150
15235	2	11	3	6	7	5
15239	2334	2072	1736	2378	1980	1886
15242	468	359	507	700	324	582
15245	0	0	0	0	0	0
15247	2002	1621	1662	1938	1625	2134
15248	1	0	2	1	3	1
15251	9375	12409	7330	4707	9541	8544
15254	2604	1785	1795	2500	1837	2149
15257	7921	8438	7699	6066	6853	8689
15258	2636	1922	4221	2530	2355	4257
15259	3230	3157	2840	3046	2901	3282
15260	745	725	819	778	727	996
15267	12	18	8	25	14	10
15270	439	303	461	375	313	501
15273	518	413	269	289	520	312
15275	6218	7223	4454	6079	7069	4695
15277	4276	6729	3153	2996	5763	3533
15278	281	274	432	269	250	515
15284	752	692	948	768	651	1065
15285	0	0	0	0	0	0
15288	515	419	484	536	411	519
15289	1083	954	1366	1111	896	1497
15312	1059	861	996	973	674	1126
15331	1170	978	702	1065	788	763
15353	1114	1049	1107	1111	976	1212
15354	15	6	25	8	6	13
15356	1325	1272	1656	1312	1162	1835
15357	2165	1525	838	2158	1884	964
15360	0	0	2	0	0	0
15361	6361	6855	1577	5107	5528	1856
15364	9	7	10	6	10	7
15365	221	59	166	293	61	181
15366	29	26	65	27	15	80
15368	25092	26205	26308	16286	20789	30430
15369	2280	2148	2407	2341	1928	2634
15370	768	98	64	37	362	55
15371	0	0	0	0	0	0
15372	0	0	0	0	0	0
15373	0	0	0	0	0	0
15374	1989	1585	1487	2070	1626	1581
15375	0	0	1	0	0	0
15376	0	0	0	0	0	0
15377	0	0	0	0	0	2
15378	0	0	1	1	0	0
15379	0	0	1	0	0	0
15381	2267	1949	2954	2140	1993	3375
15382	2991	2661	2414	2773	2722	2638
15384	4226	3078	3597	4059	3124	4141
15387	6511	5243	5879	6054	5545	6676
15388	4283	3467	3291	3987	3411	3880
15394	14	19	16	14	10	27
15395	0	0	0	0	1	3
15396	0	0	0	0	0	0
15397	0	0	0	0	0	0
15398	0	0	0	0	0	0
15399	1	2	1	1	1	0
15400	6	3	3	0	3	6
15401	0	3	7	5	0	13
15402	5	3	5	0	1	2
15403	1	0	4	0	0	1
15404	2	2	8	0	0	6
15405	1	0	5	1	1	2
15407	0	0	0	0	0	0
15408	0	0	0	0	0	0
15410	58	35	44	54	29	57
15412	195	209	221	211	187	211
15413	0	0	0	0	0	0
15414	1	0	0	1	5	1
15415	1	0	0	0	0	0
15416	0	0	0	0	0	0
15417	0	0	0	0	0	0
15421	0	0	0	0	0	0
15422	0	0	0	0	0	0
15423	0	0	1	0	0	0
15424	0	0	0	0	0	0
15425	0	0	0	0	1	0
15426	0	0	0	0	0	0
15427	0	0	0	0	0	0
15429	0	0	0	0	0	0
15430	0	0	0	0	0	0
15431	0	0	0	0	0	0
15432	0	0	0	0	0	0
15433	0	0	0	0	0	0
15434	0	0	0	0	0	0
15436	0	0	0	0	0	0
15437	0	0	0	0	0	0
15438	0	0	0	0	0	0
15439	7419	3841	63031	7857	6706	72806
15441	3303	3887	2593	3295	3086	2892
15442	3739	4621	1874	4050	4422	2175
15444	0	0	0	1	0	0
15445	0	0	5	0	0	0
15446	4	5	110	4	0	100
15450	3	3	4	3	1	2
15451	137	112	284	197	148	269
15452	1361	1018	1340	1355	1149	1541
15458	1	2	8	0	1	1
15460	1	3	0	0	0	0
15461	615	540	556	603	547	627
15463	1861	1675	1292	1720	1605	1484
15464	1	0	2	1	5	1
15465	2	1	3	0	2	2
15466	498	564	24	554	577	31
15467	1858	1784	1911	2071	1682	2139
15468	432	507	200	391	443	292
15469	875	606	695	739	627	909
15473	156	144	230	157	102	298
15476	2	7	3	0	2	2
15478	0	0	0	0	0	0
15481	51162	49161	32731	47946	53897	37610
15482	48	30	38	36	33	41
15483	31	51	35	31	26	33
15484	3	7	8	5	6	5
15485	10	27	12	8	13	27
15486	0	0	0	0	0	0
15487	0	0	0	0	0	0
15488	2179	1548	3400	2201	1730	3630
15490	135	55	96	153	72	96
15492	0	0	0	0	0	0
15493	0	0	0	0	0	0
15494	0	0	1	0	0	0
15495	0	0	0	0	0	0
15496	0	0	2	0	0	0
15497	0	0	0	0	0	0
15499	738	573	666	670	592	767
15500	605	586	380	584	523	437
15502	5189	4491	4104	4709	4621	4671
15504	0	2	3	1	0	1
15505	1954	2012	1662	1798	1868	1892
15507	9	10	3	5	8	2
15510	2642	1758	3090	2565	1946	3287
15511	853	920	38	493	800	47
15512	238	288	249	168	266	292
15516	40183	35827	22201	35164	37610	24397
15519	6652	5439	3635	4797	5227	3961
15525	3763	3078	4697	3714	2967	5167
15526	6849	4675	5566	6827	4942	6060
15528	1228	847	1177	1097	1101	1321
15529	13	5	8	7	10	11
15530	4	3	4	5	3	6
15531	1184	1346	2165	1340	1250	2555
15547	983	780	1184	1000	711	1393
15550	0	0	0	0	0	0
15551	0	0	0	0	0	0
15552	0	0	0	0	0	0
15557	0	0	0	0	2	0
15558	34	21	54	19	20	54
15559	10	15	38	6	7	48
15560	0	0	0	0	0	0
15561	0	0	0	0	0	0
15562	0	0	0	0	0	0
15563	0	0	0	0	0	0
15564	0	0	1	0	0	0
15565	0	0	0	0	0	0
15566	29	216	2	6	94	0
15567	2	1	1	1	4	1
15568	1425	1027	1225	1205	973	1326
15569	0	0	0	0	1	0
15571	0	2	1	1	1	0
15572	3	0	0	3	1	1
15574	263	257	197	189	235	230
15586	16	56	28	12	24	49
15587	296	219	331	241	159	374
15874	0	0	0	0	0	0
15891	0	0	0	0	0	0
15893	22	19	47	11	14	49
15894	12322	11213	2974	11965	14245	3335
15896	28	35	13	34	54	12
15898	7	11	4	12	12	12
15900	7223	9658	3496	6774	8070	4268
15901	17	19	40	17	12	35
15902	1238	1026	1616	676	976	1850
15903	19	13	5	4	14	7
15904	0	0	0	0	0	0
15925	1795	1325	1509	1855	1191	1549
15926	3926	2075	11991	5652	2670	13760
15929	1469	1220	2164	1466	1315	2476
15930	20	125	2	14	61	0
15931	1583	1201	1664	1817	1313	1799
15932	1258	1159	1222	1353	1135	1352
15936	722	613	656	573	686	754
15937	3278	4147	682	998	3838	704
15939	1855	1039	1049	1675	1266	1159
15944	22620	24908	803	20321	21702	909
15945	22394	27193	71	18911	29633	52
15950	4681	4459	267	5223	4723	315
15951	10820	11203	1001	11807	9340	1026
15953	11971	12680	201	10889	11331	244
15957	9067	9667	104	12950	7600	116
15958	23748	23677	125	30910	20259	146
15959	8380	5544	50	12502	4795	44
15962	0	0	0	0	0	0
15964	0	0	0	0	0	0
15965	1	0	0	0	0	0
15967	0	1	0	0	0	0
15968	0	0	0	0	0	0
15969	0	0	0	0	0	0
15970	0	0	0	0	0	0
15972	0	0	0	0	0	0
15974	0	0	0	0	0	0
15975	3324	3449	3247	3515	3038	3640
15976	4764	4796	3060	4300	4406	3599
15977	4	3	0	2	1	0
15978	0	0	0	0	0	0
15979	2493	1974	5740	3134	2126	6335
15980	4278	4381	3485	4435	4037	4027
15982	2328	2153	453	1294	1724	514
15983	179	90	209	159	99	241
15985	37	14	47	43	28	87
16000	506	99	4717	722	113	5297
16001	215	340	263	162	181	282
16002	1	0	0	0	2	1
16004	6150	6366	6375	5717	6170	6915
16005	0	0	1	0	1	3
16006	0	0	0	0	0	0
16007	2	2	4	0	1	6
16008	0	2	2	0	0	0
16009	0	0	0	0	0	0
16010	298	113	3222	373	138	3878
16011	2	0	1	0	0	0
16012	3	4	4	4	1	4
16016	0	0	0	1	0	0
16017	0	0	0	0	0	0
16019	27	9	46	12	9	74
16068	5925	6806	211	6060	5955	240
16069	3	1	0	2	2	1
16071	0	8	0	0	0	0
16098	0	0	0	0	0	0
16136	0	0	0	0	0	0
16142	0	0	1	0	0	0
16145	19980	27073	340	16648	20095	319
16147	3	4	4	7	4	3
16149	45932	74486	2638	30453	69810	2916
16150	2512	2538	2365	2495	2271	2534
16151	1866	2096	1654	1680	1600	1845
16153	52	9	96	142	31	107
16154	6168	5794	5473	7020	6194	5928
16155	3020	3036	3271	3368	2391	3812
16156	1	0	0	0	0	0
16157	388	331	324	316	314	315
16158	1	1	0	0	0	1
16159	117	159	37	83	239	45
16160	0	2	1	0	11	0
16161	2066	2919	35	2116	2684	22
16162	68	123	34	35	97	43
16163	0	1	0	0	0	0
16164	1303	1835	661	1241	1553	699
16165	0	0	0	0	0	0
16168	895	1368	137	1042	1198	144
16169	3193	3621	605	2888	3687	675
16170	1134	561	2194	1671	755	2488
16171	0	0	0	0	0	0
16172	1092	779	1156	1030	804	1243
16173	310	280	97	338	206	78
16174	11	32	42	4	26	30
16175	893	915	73	520	1710	72
16176	12396	27886	222	3219	21437	296
16177	135	369	303	96	153	347
16178	7	22	144	5	6	186
16179	2188	1903	1997	2042	1817	2165
16180	256	187	210	145	171	228
16181	3991	6534	121	2305	3240	140
16182	0	0	3	0	0	4
16183	1	0	1	1	0	0
16184	2	2	4	7	5	8
16185	0	0	0	0	0	0
16186	16877	13964	6814	15583	13477	7891
16187	0	0	0	0	0	0
16188	754	921	471	809	812	561
16189	0	1	1	0	0	0
16190	4208	7437	3205	3803	4871	3637
16191	0	0	0	0	2	0
16192	0	0	0	0	1	0
16193	77	63	8	44	93	8
16194	1427	1192	2123	1652	1181	2361
16195	922	961	906	961	937	1009
16196	71	58	9	55	47	26
16197	431	1090	257	255	328	258
16198	0	0	0	0	0	0
16199	0	0	0	0	0	0
16201	1060	901	781	923	816	840
16202	2466	2321	2930	2532	2198	3381
16204	0	0	0	0	0	0
16205	0	0	0	0	0	0
16206	4	2	3	3	3	6
16210	2482	2379	1388	1969	2039	1634
16211	4282	3583	3887	4253	3536	4314
16319	1437	1404	1482	1606	1461	1662
16322	0	0	0	0	0	0
16323	1808	1609	17	100	1151	13
16324	0	0	1	0	0	2
16325	0	0	0	0	0	0
16326	0	0	0	0	0	0
16328	1456	1396	1483	1600	1242	1434
16329	304	343	229	462	260	247
16330	5783	7181	1066	3860	7480	1232
16331	5144	4560	9298	6019	4506	10270
16332	2000	2033	2413	2519	1891	2854
16333	0	0	0	0	0	0
16334	0	0	0	0	0	0
16336	2	9	3	7	14	2
16337	1094	976	1854	1331	993	1954
16341	2025	1580	2161	2192	1768	2406
16348	321	322	385	353	335	391
16351	106	82	122	87	66	161
16353	0	0	0	0	0	0
16362	23035	27853	818	20404	23466	1035
16363	3645	3547	1963	3515	3344	2324
16364	8	6	13	5	7	6
16365	126434	128875	18376	130157	131997	20438
16367	1	0	7	0	0	9
16369	0	1	0	0	0	2
16370	0	0	0	0	0	0
16371	0	0	0	0	0	0
16372	0	0	0	0	0	0
16373	1	0	2	0	0	1
16391	1824	1490	676	1976	1535	733
16392	0	0	0	0	0	0
16396	2118	1956	2540	2314	1977	2968
16398	1	0	0	1	1	1
16399	8	11	19	8	7	14
16400	0	2	0	0	1	0
16401	3507	3401	3537	4511	4176	3918
16402	4173	3608	2154	3927	3667	2325
16403	54	49	2136	61	45	2258
16404	0	1	1	3	2	3
16407	15	18	11	12	10	10
16408	12729	11703	5530	12826	12907	6284
16409	27810	35273	33117	29858	30829	37846
16410	3835	3567	2187	2055	2344	2424
16411	86	90	34	67	81	20
16412	13459	13787	9635	12536	13810	10931
16413	660	500	648	688	533	690
